Séance,Chapitre,Contenu de la séance,Pièce jointe
2026-01-15,"Distance, cercle, disque et médiatrice",Connaître la médiatrice et résoudre des problèmes de distance,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\15.pdf
2026-01-16,"Distance, cercle, disque et médiatrice",Connaître la médiatrice et résoudre des problèmes de distance,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\16.pdf
2026-01-19,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\17.pdf
2026-01-19,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\17.pdf
2026-01-20,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\18.pdf
2026-01-22,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\18.pdf
2026-01-23,,Devoir surveillé,
2026-01-26,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\19.pdf
2026-01-27,Fractions,Utiliser la fraction en tant que nombre,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\20.pdf
2026-01-29,Fractions,"Produire des fractions égales, comparer des fractions",C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\21.pdf
2026-02-02,Triangles,Construire des triangles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\22.pdf
2026-02-03,Triangles,Construire des triangles,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\23.pdf
2026-02-10,Triangles,Connaître la somme des angles d’un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\24.pdf
2026-02-12,Triangles,Connaître la somme des angles d’un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\25.pdf
2026-02-13,Triangles,Construire le cercle circonscrit à un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\26.pdf
2026-03-02,,,
2026-03-02,Programmation,Introduction à la pensée informatique,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\27.pdf
2026-03-05,Les divisions,Effectue une division euclidienne.,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\28.pdf
2026-03-06,,,
2026-03-09,Les divisions,Effectue une division euclidienne,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\29.pdf
2026-03-10,Les divisions,Effectuer une division décimale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\30.pdf
2026-03-12,Les divisions,Effectuer une division décimale.,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\31.pdf
2026-03-13,Les divisions,Calculer avec des durées,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_1\6_Grp_1_Cours\6_Grp_1_seances\32.pdf
2026-03-16,Les divisions,Calculer avec des durées,
2026-03-16,Périmètre et aire,Calculer des périmètres dans différentes unités,
2026-03-17,Périmètre et aire,Calculer des périmètres dans différentes unités,
2026-03-19,Périmètre et aire,Calculer des aires dans différentes unités,
2026-03-20,Périmètre et aire,Calculer des aires dans différentes unités,
2026-03-23,Priorité opératoire,Je calcule une expression sans parenthèse,
2026-03-24,Priorité opératoire,Je calcule une expression sans parenthèse,
2026-03-26,Priorité opératoire,Je calcule une expression sans parenthèse,
2026-03-27,Priorité opératoire,Je calcule une expression avec parenthèses,
2026-03-30,Priorité opératoire,J'utilise le vocabulaire pour décrire une expression,
2026-03-30,,,
2026-03-31,,,
2026-04-02,,,
2026-04-03,,,
,,,
2026-04-06,,,
2026-04-07,,,
2026-04-09,,,
2026-04-10,,,
2026-04-27,,,
2026-04-27,,,
2026-04-28,,,
2026-04-30,,,
2026-05-01,,,
2026-05-04,,,
2026-05-05,,,
2026-05-07,,,
2026-05-08,,,
2026-05-11,,,
2026-05-11,,,
2026-05-12,,,
2026-05-14,,,
2026-05-15,,,
2026-05-18,,,
2026-05-19,,,
2026-05-21,,,
2026-05-22,,,
2026-05-25,,,
2026-05-25,,,
2026-05-26,,,
2026-05-28,,,
2026-05-29,,,
2026-06-01,,,
2026-06-02,,,
2026-06-04,,,
2026-06-05,,,
2026-06-08,,,
2026-06-08,,,
2026-06-09,,,
2026-06-11,,,
2026-06-12,,,
2026-06-15,,,
2026-06-16,,,
2026-06-18,,,
2026-06-19,,,
2026-06-22,,,
2026-06-22,,,
2026-06-23,,,
2026-06-25,,,
2026-06-26,,,
2026-06-29,,,
2026-06-30,,,
2026-07-02,,,
2026-07-03,,,
2026-07-06,,,
2026-07-06,,,
2026-07-07,,,
2026-07-09,,,
2026-07-10,,,
