Séance,Chapitre,Contenu de la séance,Pièce jointe
2025-12-01,Addition et soustraction,Déterminer un ordre de grandeur,
2025-12-02,Addition et soustraction,Multiplier avec des nombres entiers ou décimaux,
2025-12-02,Addition et soustraction,Déterminer un ordre de grandeur,
2025-12-04,Addition et soustraction,Déterminer un ordre de grandeur,
2025-12-08,Addition et soustraction,Multiplier avec des nombres entiers ou décimaux,
2025-12-08,Addition et soustraction,Multiplier avec des nombres entiers ou décimaux,
2025-12-09,Addition et soustraction,Déterminer un ordre de grandeur,
2025-12-11,Addition et soustraction,Multiplier avec des nombres entiers ou décimaux,
2025-12-11,Addition et soustraction,Déterminer un ordre de grandeur,
2025-12-15,Addition et soustraction,Multiplier avec des nombres entiers ou décimaux,
2025-12-16,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\16_12_25.pdf,
2025-12-16,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\16_12_25.pdf,
2025-12-18,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\18_12_25.pdf,
2026-01-06,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\06_01_26.pdf,
2026-01-08,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\08_01_26.pdf,
2026-01-08,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\08_01_26.pdf,
2026-01-12,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\12_01_26.pdf,
2026-01-13,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\13_01_26.pdf,
2026-01-13,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\13_01_26.pdf,
2026-01-15,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\15_01_26.pdf,
2026-01-19,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\19_01_26.pdf,
2026-01-19,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\19_01_26.pdf,
2026-01-20,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\20_01_26.pdf,
2026-01-22,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\22_01_26.pdf,
2026-01-22,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\22_01_26.pdf,
2026-01-26,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\26_01_26.pdf,
2026-01-27,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\27_01_26.pdf,
2026-01-27,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\27_01_26.pdf,
2026-01-29,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\29_01_26.pdf,
2026-02-02,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\02_02_26.pdf,
2026-02-02,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\02_02_26.pdf,
2026-02-03,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\03_02_26.pdf,
2026-02-05,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\05_02_26.pdf,
2026-02-05,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\6_Grp_4\6_Grp_4_Cours\6_Grp_4_seances\05_02_26.pdf,
2026-02-09,,,
2026-02-10,,,
2026-02-10,,,
2026-02-12,,,
2026-03-03,,,
2026-03-05,,,
2026-03-05,,,
2026-03-09,,,
2026-03-10,,,
2026-03-10,,,
2026-03-12,,,
2026-03-16,,,
2026-03-16,,,
2026-03-17,,,
2026-03-19,,,
2026-03-19,,,
2026-03-23,,,
2026-03-24,,,
2026-03-24,,,
2026-03-26,,,
2026-03-30,,,
2026-03-30,,,
2026-03-31,,,
2026-04-02,,,
2026-04-02,,,
2026-04-06,,,
2026-04-07,,,
2026-04-07,,,
2026-04-09,,,
2026-04-28,,,
2026-04-30,,,
2026-04-30,,,
2026-05-04,,,
2026-05-05,,,
2026-05-05,,,
2026-05-07,,,
2026-05-11,,,
2026-05-11,,,
2026-05-12,,,
2026-05-14,,,
2026-05-14,,,
2026-05-18,,,
2026-05-19,,,
2026-05-19,,,
2026-05-21,,,
2026-05-25,,,
2026-05-25,,,
2026-05-26,,,
2026-05-28,,,
2026-05-28,,,
2026-06-01,,,
2026-06-02,,,
2026-06-02,,,
2026-06-04,,,
2026-06-08,,,
2026-06-08,,,
2026-06-09,,,
2026-06-11,,,
2026-06-11,,,
2026-06-15,,,
2026-06-16,,,
2026-06-16,,,
2026-06-18,,,
2026-06-22,,,
2026-06-22,,,
2026-06-23,,,
2026-06-25,,,
2026-06-25,,,
2026-06-29,,,
2026-06-30,,,
2026-06-30,,,
2026-07-02,,,
2026-07-06,,,
2026-07-06,,,
2026-07-07,,,
2026-07-09,,,
2026-07-09,,,
